,text,label
0,vaksin gratis covid penolakan masyarakat diantisipasi via beritaterkini beritanasional vaksinuntukkita penolakanvaksin vaksingratis ingatpesanibu pakaimasker,1
1,presiden jokowi menetapkan vaksin gratis rakyat ayo vaksinasi vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
2,presiden jokowi menetapkan vaksin gratis masyarakat apresiasi pemerintah terbaik vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
3,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
4,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
5,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
6,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
7,presiden jokowi menetapkan vaksin gratis rakyat distribusinya menunggu uji keamanan kemanjuran bpom unpad biofarma vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
8,kemenpora tentukan daftar prioritas atlet penerima vaksin covid via beritaterkini kemenpora atlet vaksin,1
9,presiden vaksinasi covid terkait keanggotaan bpjs via beritaterkini beritanasional vaksincovid bpjs bpjskesehatan pakaimasker ingatpesanibu,1
10,presiden jokowi menetapkan vaksin gratis rakyat distribusinya menunggu uji keamanan kemanjuran bpom unpad biofarma vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
11,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
12,presiden jokowi menetapkan vaksin gratis rakyat bukti pemerintah prioritaskan kesehatan masyarakat vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
13,presiden jokowi menetapkan vaksin gratis rakyat distribusinya menunggu uji keamanan kemanjuran bpom unpad biofarma vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
14,presiden jokowi menetapkan vaksin gratis rakyat distribusinya menunggu uji keamanan kemanjuran bpom unpad biofarma vaksinuntukkita vaksingratisuntukrakyat jokowi vaksingratis vaksinaman vaksindatangtetapjagam,1
15,haruskah membuang uang kabin pesawat first class semewah semahal kabin pesawat firstclass covidnsw covidnsw vaksin hanbin fight pramugari singapore airlines,1
16,hp utama covidnsw covidnsw vaksin hanbin juventus android viral funny,1
17,intip wanita pemuas nafsu cristiano ronaldo covidnsw covidnsw vaksin hanbin juventus ronaldo,1
